category,subcategory,ID,Description,GeneRatio,BgRatio,pvalue,p.adjust,qvalue,geneID,Count
Environmental Information Processing,Signal transduction,hsa04151,PI3K-Akt signaling pathway,3/89,362/8541,0.734345758300952,0.892477458409193,0.892477458409193,1021/1280/3570,3
Organismal Systems,Immune system,hsa04611,Platelet activation,1/89,126/8541,0.735431552643659,0.892477458409193,0.892477458409193,85366,1
Human Diseases,Infectious disease: bacterial,hsa05131,Shigellosis,2/89,250/8541,0.739774417721341,0.892477458409193,0.892477458409193,87/5829,2
Metabolism,Nucleotide metabolism,hsa00230,Purine metabolism,1/89,128/8541,0.740998625192132,0.892477458409193,0.892477458409193,4831,1
Environmental Information Processing,Signaling molecules and interaction,hsa04080,Neuroactive ligand-receptor interaction,3/89,370/8541,0.747909648878399,0.892477458409193,0.892477458409193,2892/5021/347148,3
Organismal Systems,Nervous system,hsa04728,Dopaminergic synapse,1/89,132/8541,0.75178759230751,0.892477458409193,0.892477458409193,2892,1
Environmental Information Processing,Signal transduction,hsa04068,FoxO signaling pathway,1/89,133/8541,0.754414647163572,0.892477458409193,0.892477458409193,6517,1
Cellular Processes,Transport and catabolism,hsa04142,Lysosome,1/89,133/8541,0.754414647163572,0.892477458409193,0.892477458409193,6556,1
Human Diseases,Infectious disease: bacterial,hsa05135,Yersinia infection,1/89,138/8541,0.767143138560671,0.898705207259166,0.898705207259166,5829,1
Human Diseases,Infectious disease: viral,hsa05162,Measles,1/89,139/8541,0.769609431630777,0.898705207259166,0.898705207259166,1021,1
Human Diseases,Cancer: specific types,hsa05224,Breast cancer,1/89,148/8541,0.790675197472489,0.908316301865396,0.908316301865396,1021,1
Human Diseases,Neurodegenerative disease,hsa05020,Prion disease,2/89,278/8541,0.791469508003909,0.908316301865396,0.908316301865396,6263/7419,2
Organismal Systems,Nervous system,hsa04723,Retrograde endocannabinoid signaling,1/89,149/8541,0.792894893341064,0.908316301865396,0.908316301865396,2892,1
Organismal Systems,Circulatory system,hsa04261,Adrenergic signaling in cardiomyocytes,1/89,154/8541,0.803649020515589,0.911485038284803,0.911485038284803,6330,1
Human Diseases,Endocrine and metabolic disease,hsa04934,Cushing syndrome,1/89,155/8541,0.805732630528003,0.911485038284803,0.911485038284803,1021,1
Cellular Processes,Cell growth and death,hsa04217,Necroptosis,1/89,159/8541,0.813850680213093,0.912635093495363,0.912635093495363,7419,1
Human Diseases,Infectious disease: viral,hsa05161,Hepatitis B,1/89,163/8541,0.821633146203553,0.912635093495363,0.912635093495363,7419,1
Cellular Processes,Cellular community - eukaryotes,hsa04530,Tight junction,1/89,170/8541,0.83448592060429,0.912635093495363,0.912635093495363,87,1
Human Diseases,Cancer: specific types,hsa05225,Hepatocellular carcinoma,1/89,170/8541,0.83448592060429,0.912635093495363,0.912635093495363,1021,1
Human Diseases,Infectious disease: viral,hsa05164,Influenza A,1/89,173/8541,0.839709817785368,0.912635093495363,0.912635093495363,1021,1
Environmental Information Processing,Signal transduction,hsa04310,Wnt signaling pathway,1/89,174/8541,0.841414624933683,0.912635093495363,0.912635093495363,79816,1
Human Diseases,Cancer: overview,hsa05206,MicroRNAs in cancer,2/89,312/8541,0.84204453377749,0.912635093495363,0.912635093495363,1021/10298,2
Human Diseases,Infectious disease: bacterial,hsa05152,Tuberculosis,1/89,182/8541,0.854423014097216,0.915092103855598,0.915092103855598,2214,1
Human Diseases,Infectious disease: viral,hsa05168,Herpes simplex virus 1 infection,1/89,182/8541,0.854423014097216,0.915092103855598,0.915092103855598,5819,1
Human Diseases,Infectious disease: viral,hsa05167,Kaposi sarcoma-associated herpesvirus infection,1/89,196/8541,0.874697894804302,0.925927194984548,0.925927194984548,1021,1
Human Diseases,Cancer: overview,hsa05202,Transcriptional misregulation in cancer,1/89,198/8541,0.877356512100817,0.925927194984548,0.925927194984548,2892,1
Human Diseases,Infectious disease: viral,hsa05169,Epstein-Barr virus infection,1/89,204/8541,0.885002236090203,0.925927194984548,0.925927194984548,1021,1
Human Diseases,Cancer: overview,hsa05205,Proteoglycans in cancer,1/89,204/8541,0.885002236090203,0.925927194984548,0.925927194984548,5829,1
Environmental Information Processing,Signal transduction,hsa04015,Rap1 signaling pathway,1/89,212/8541,0.894467930796538,0.930035227940377,0.930035227940377,25865,1
Genetic Information Processing,Transcription,hsa03040,Spliceosome,1/89,217/8541,0.89998835567565,0.930035227940377,0.930035227940377,51691,1
Human Diseases,Neurodegenerative disease,hsa05014,Amyotrophic lateral sclerosis,2/89,371/8541,0.904343647058047,0.930035227940377,0.930035227940377,1767/10452,2
Human Diseases,Neurodegenerative disease,hsa05010,Alzheimer disease,2/89,391/8541,0.919693745014012,0.93050176939502,0.93050176939502,6263/7419,2
Environmental Information Processing,Signal transduction,hsa04014,Ras signaling pathway,1/89,238/8541,0.920219981887892,0.93050176939502,0.93050176939502,10298,1
Human Diseases,Infectious disease: viral,hsa05171,Coronavirus disease - COVID-19,1/89,238/8541,0.920219981887892,0.93050176939502,0.93050176939502,3570,1
Human Diseases,Infectious disease: bacterial,hsa05132,Salmonella infection,1/89,251/8541,0.930656546357282,0.935826860503711,0.935826860503711,388,1
Environmental Information Processing,Signal transduction,hsa04010,MAPK signaling pathway,1/89,300/8541,0.959202267160756,0.959202267160756,0.959202267160756,9448,1
